,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
0,9942768000.0,37487608000.0,229300220000.0,25.054882,1.058097,164.30688,83.14966,276782840000.0,0.0
1,8177316400.0,8527347000.0,214513070000.0,40.584583,0.5998463,129.1892,63.097786,231246790000.0,0.0
2,3438600700.0,18321224000.0,133444500000.0,15.716292,0.8316901,155.35207,85.644264,155263630000.0,0.0
3,5167197700.0,3898072800.0,82453410000.0,22.837128,0.40965047,95.56574,52.72966,91529340000.0,0.0
4,5595889700.0,3734585900.0,63621124000.0,16.891312,1.0568721,100.277756,56.704617,72961070000.0,0.0
5,5241955300.0,1603653500.0,80611650000.0,29.054821,0.18226968,83.977585,45.21598,87463076000.0,0.0
6,1895037000.0,1726218400.0,89961546000.0,29.87388,0.09158535,88.89943,48.15991,93590310000.0,0.0
7,1632868200.0,854828100.0,71173276000.0,32.258064,0.1411856,76.229744,41.181126,73665310000.0,0.0
8,892680600.0,2800266800.0,50635813000.0,13.289176,0.29470533,94.788994,57.44113,54337917000.0,0.0
9,3068574500.0,494116480.0,49518236000.0,26.450598,0.09491059,66.98306,36.6874,53080924000.0,0.0
10,961750340.0,844485000.0,40592593000.0,16.905743,0.11931212,76.18982,43.446285,42401423000.0,0.0
11,960776500.0,270374200.0,18449777000.0,8.283505,0.063918374,71.60406,46.702038,19680928000.0,0.0
12,994996030.0,225137150.0,9739663000.0,11.202542,0.046155687,46.682816,26.855663,10959797000.0,0.0
13,42090460000.0,93325240000.0,736810400000.0,35.073696,4.28765,280.86996,139.81097,872447740000.0,0.0
14,28374980000.0,47103697000.0,551690100000.0,41.7936,1.4113895,205.2054,105.070404,627284500000.0,0.0
15,22419250000.0,27142924000.0,476618200000.0,43.1792,0.36068472,205.6952,94.42694,526296220000.0,0.0
16,15277358000.0,40887763000.0,347825540000.0,25.6174,2.1084003,192.6234,105.35797,404026600000.0,0.0
17,6952920600.0,10675404000.0,159774490000.0,22.943811,1.2547646,132.63571,79.31715,177424150000.0,0.0
18,5073232400.0,5551437300.0,117040220000.0,26.302315,0.42393187,110.18252,57.330444,127680140000.0,0.0
19,4903110700.0,2988242400.0,82009645000.0,17.640247,0.72835946,106.099396,64.98351,89910630000.0,0.0
20,7909687000.0,742698300.0,74531004000.0,29.579271,0.070013225,81.39098,43.29911,83188390000.0,0.0
21,5069954600.0,1168371600.0,80772284000.0,28.908138,0.23198351,86.93115,46.23142,87019210000.0,0.0
22,3262298400.0,1735448200.0,81959280000.0,25.720016,0.4910713,89.41086,50.74161,86964625000.0,0.0
23,2184679400.0,2227487000.0,51292380000.0,19.27912,0.2706269,86.31704,44.80704,55710280000.0,0.0
24,4227349200.0,407186080.0,43348193000.0,24.787214,0.07195323,66.99631,35.838547,47982730000.0,0.0
25,1183473400.0,122985200.0,21809314000.0,18.415567,0.04274149,52.805977,31.225426,23115772000.0,0.0
26,7762097000.0,10872913000.0,157834260000.0,42.01636,0.327734,131.31752,66.587906,176501650000.0,0.0
27,1166862500.0,6088653000.0,94966370000.0,21.361652,0.17829493,114.70844,57.011406,102246080000.0,0.0
28,1837128600.0,6089087500.0,68015206000.0,13.689468,0.17408423,118.31044,61.501343,75962040000.0,0.0
29,1210925700.0,7056503000.0,25089898000.0,6.776088,0.33183992,103.12382,63.038857,33372293000.0,0.0
30,563531840.0,1144406800.0,40637060000.0,16.012362,0.07424557,75.863846,44.473785,42351792000.0,0.0
31,22963188000.0,86560380000.0,305023220000.0,18.982582,2.1364472,295.09314,129.81033,414744540000.0,0.0
32,24977148000.0,22037858000.0,478838460000.0,63.793232,1.6255571,151.42123,77.7208,525889000000.0,0.0
33,20335086000.0,16020676000.0,158157800000.0,21.431805,0.39239454,143.62717,81.272644,194536180000.0,0.0
34,14492403000.0,15300285000.0,188057400000.0,25.832218,1.1531756,141.09846,79.65327,217888900000.0,0.0
35,12607731000.0,21736464000.0,143321200000.0,17.203411,1.895662,153.81567,85.46406,177706060000.0,0.0
36,6384043000.0,17376831000.0,168691960000.0,23.75429,0.42036834,146.04497,72.81239,192478180000.0,0.0
37,10148813000.0,12975321000.0,138402580000.0,25.250048,1.2466056,132.6772,66.30889,161560610000.0,0.0
38,18002620000.0,6391760000.0,150812100000.0,24.445827,0.4596651,124.27726,71.56452,175221230000.0,0.0
39,10150623000.0,12361753000.0,125461290000.0,21.191181,1.3181279,126.83054,66.18291,147998080000.0,0.0
40,8910660000.0,12062500000.0,76706250000.0,13.580127,1.7664268,135.71663,74.074234,97703660000.0,0.0
41,3162680000.0,2396767200.0,96145200000.0,30.03144,0.1612315,91.88522,47.600418,101716840000.0,0.0
42,2565264100.0,7472730600.0,48513642000.0,9.835884,0.21681064,118.878716,62.547516,58578756000.0,0.0
43,2302878200.0,5083686400.0,59414893000.0,14.452328,0.4005877,103.14217,57.726448,66813670000.0,0.0
44,5159483400.0,2797176000.0,61826556000.0,21.008394,0.21967524,86.52077,51.114258,69791950000.0,0.0
45,3126443800.0,3149167900.0,57193353000.0,14.741726,0.58309746,100.74022,57.42334,63480054000.0,0.0
46,2220826000.0,798733630.0,70306620000.0,29.096325,0.10265275,75.23056,42.949272,73330100000.0,0.0
47,1413367600.0,3175739000.0,43177136000.0,12.091881,0.17727809,93.70113,50.366924,47776514000.0,0.0
48,7250867700.0,496536700.0,36505248000.0,23.97352,0.09826903,65.40408,34.692997,44252656000.0,0.0
49,1386071800.0,1041457300.0,49261416000.0,20.884995,0.08014437,75.78966,43.45452,51694703000.0,0.0
50,1203033900.0,2420604700.0,37225796000.0,17.311018,0.114888616,73.96958,39.936417,40858235000.0,0.0
51,3426594800.0,1006671940.0,20049687000.0,10.231683,0.4965939,73.05277,43.602287,24485036000.0,0.0
52,249453690000.0,295843700000.0,5094640700000.0,133.11273,2.7929468,422.3797,181.33636,5640475000000.0,0.0
53,142541830000.0,281456570000.0,3190202800000.0,87.842926,2.9185824,531.464,183.68088,3614843900000.0,0.0
54,24815650000.0,218811000000.0,1086588900000.0,34.69684,3.169048,362.21753,173.91283,1330709900000.0,0.0
55,26559263000.0,150722990000.0,284656830000.0,11.721159,5.4957805,321.4232,181.84137,462245900000.0,0.0
56,21312207000.0,86644195000.0,571705800000.0,29.700722,1.9862378,275.24512,126.46682,679819000000.0,0.0
57,8574776000.0,34104676000.0,77931380000.0,8.137886,2.6105657,201.68338,101.86669,120738650000.0,0.0
58,9325719000.0,13387293000.0,184451940000.0,29.397053,1.3489532,134.75739,72.79995,207195850000.0,0.0
59,11792463000.0,2519549200.0,101924120000.0,28.388187,0.4433022,95.651306,53.55977,116243130000.0,0.0
60,4492261000.0,2821700600.0,116743920000.0,30.81324,0.29253778,98.63689,53.428944,124068410000.0,0.0
61,6303012400.0,4671656400.0,66994270000.0,16.993706,0.51751494,101.98993,54.522305,77981000000.0,0.0
62,6148610600.0,2516821200.0,68402250000.0,20.101582,0.2597838,92.274475,51.824215,77077540000.0,0.0
63,1363560100.0,407377730.0,36842380000.0,21.732113,0.06558465,65.98436,35.139595,38613316000.0,0.0
64,43204305000.0,138670440000.0,791463260000.0,35.209377,4.4051976,362.92102,152.85114,973769000000.0,0.0
65,12549423000.0,30230815000.0,150074310000.0,13.907722,1.5723654,178.4266,95.08322,192910790000.0,0.0
66,3882856700.0,32616130000.0,79419210000.0,8.833946,1.2082056,185.52847,99.81121,116014320000.0,0.0
67,5528050700.0,4707047000.0,121049510000.0,25.759842,0.32876155,113.80098,58.600784,131299500000.0,0.0
68,2042195500.0,3405849000.0,116966260000.0,28.380737,0.35297135,103.62609,53.31499,122428760000.0,0.0
69,866517300.0,11123329000.0,59976634000.0,9.290564,0.4069031,129.21237,74.924835,71987170000.0,0.0
70,891464640.0,5758048000.0,31444615000.0,8.013635,0.17162584,105.83085,56.586784,38111715000.0,0.0
71,4041836800.0,876730900.0,49692930000.0,23.164824,0.11812807,77.80493,39.521145,54617645000.0,0.0
72,1774059300.0,754858700.0,29969033000.0,13.644315,0.07513602,72.265305,40.755825,32502983000.0,0.0
73,1566250800.0,1030931900.0,11947138000.0,7.2571507,0.09896208,66.24301,38.33963,14544323000.0,0.0
74,24424006000.0,38025486000.0,243043270000.0,25.221535,0.898504,163.93692,88.419655,305543380000.0,0.0
75,37284740000.0,6806730000.0,272072620000.0,48.746773,1.5704422,118.162155,75.31977,316178040000.0,0.0
76,4897416000.0,28757121000.0,120655225000.0,16.680202,0.8483725,188.70001,83.2712,154392720000.0,0.0
77,10112181000.0,9737639000.0,192552200000.0,34.16867,0.639399,137.90596,66.56683,212426880000.0,0.0
78,6798677000.0,1953860100.0,62433670000.0,21.473696,0.33745968,84.63851,46.737625,71192850000.0,0.0
79,1093994500.0,764866000.0,35087290000.0,20.922626,0.06279543,68.47002,36.450523,36949193000.0,0.0
80,1618915800.0,117997640.0,29685893000.0,24.01686,0.03097765,57.581657,30.072048,31422808000.0,0.0
81,574545400.0,683393300.0,7163292000.0,4.1142626,0.06530787,67.42536,40.570568,8425763300.0,0.0
82,17059820000.0,12315300000.0,138519660000.0,23.458372,1.2506711,134.93724,69.90514,167915860000.0,0.0
83,6656594000.0,26032538000.0,56052183000.0,9.2919235,0.830568,144.54147,78.3564,88793310000.0,0.0
84,2544963600.0,2693749200.0,78441840000.0,22.899866,0.15011305,93.74412,51.15259,83689150000.0,0.0
85,854616060.0,237354260.0,7058477000.0,8.054155,0.036759302,47.02987,27.471094,8150446600.0,0.0
86,119122260000.0,71317750000.0,1405427800000.0,97.79529,2.5008974,230.8653,113.67587,1596013700000.0,0.0
87,12727678000.0,10854141000.0,150801660000.0,25.375025,2.089169,136.0036,76.448425,174407480000.0,0.0
88,1631444900.0,8377726500.0,75975270000.0,13.030813,0.33147785,124.299446,64.66579,86008850000.0,0.0
89,4017453000.0,8721711000.0,31138791000.0,10.029026,0.32764584,101.18393,53.04484,43877958000.0,0.0
90,6135219000.0,1325409900.0,32308550000.0,11.992159,0.43254232,84.62631,49.785465,39773807000.0,0.0
91,597024060.0,541248100.0,38647837000.0,17.95025,0.06132933,70.46309,37.78212,39789335000.0,0.0
92,8106684000.0,16858973000.0,90293240000.0,14.1548,0.996147,165.02034,75.8724,115320990000.0,0.0
93,5327821300.0,14910677000.0,112476430000.0,16.765371,0.53198296,140.43419,73.84084,132741430000.0,0.0
94,3087647000.0,19846308000.0,70669615000.0,9.243762,0.9919642,154.15143,82.23292,93644276000.0,0.0
95,1543737600.0,2993635800.0,58885830000.0,16.23558,0.17289746,96.55601,50.94989,63436320000.0,0.0
96,2880202500.0,714739260.0,37690434000.0,17.44325,0.070208065,72.72567,39.14414,41290480000.0,0.0
97,16467902000.0,69611610000.0,429018450000.0,32.13786,0.8482395,229.63145,109.31184,515233100000.0,0.0
98,7027498500.0,7437854000.0,71894280000.0,15.191571,0.75009686,113.12613,61.214058,86376230000.0,0.0
99,3967193000.0,8599223000.0,44512506000.0,9.760786,0.8207105,112.75336,66.153465,57100610000.0,0.0
100,2069469800.0,2335750100.0,68473934000.0,19.700146,0.16760631,94.24864,50.665462,72888730000.0,0.0
101,2170032600.0,1846309800.0,42822760000.0,16.613392,0.12598689,81.4786,42.422512,46846345000.0,0.0
102,774485600.0,314062700.0,24295842000.0,17.707418,0.054129887,56.148804,31.942673,25384393000.0,0.0
103,96419760000.0,241796960000.0,1863359400000.0,50.262558,3.619237,395.2605,185.51353,2202186300000.0,0.0
104,8950792000.0,47404093000.0,188127740000.0,15.891188,2.0260484,212.60762,107.973946,244631450000.0,0.0
105,4822875000.0,31756777000.0,63449604000.0,9.359411,0.9119853,167.65097,83.39721,100096650000.0,0.0
106,5574105000.0,2258814500.0,95709150000.0,23.039516,0.22821242,99.26453,55.219074,103548805000.0,0.0
107,6596456000.0,416439230.0,67321876000.0,30.31914,0.063243784,75.13176,40.63366,74337450000.0,0.0
108,1623608000.0,868801200.0,35093190000.0,19.837534,0.11256837,66.51418,38.324745,37591070000.0,0.0
109,312424930.0,120885920.0,0.0,1.329064,0.101840116,26.578148,10.040697,433310850.0,0.0
110,75009155000.0,92157680000.0,1304573500000.0,82.58929,6.02051,235.54832,118.041534,1471944500000.0,0.0
111,2061448000.0,4557001700.0,71822130000.0,18.408836,0.19645093,100.74851,55.03169,78454110000.0,0.0
112,2351967200.0,307537470.0,43488400000.0,25.82195,0.069131814,66.20057,35.12434,46150705000.0,0.0
113,2100825200.0,787650300.0,36515684000.0,15.496661,0.10436913,75.86548,40.083717,39404160000.0,0.0
114,17102710000.0,121794900000.0,493203160000.0,25.393324,2.62207,268.06332,138.68726,632315300000.0,0.0
115,34700456000.0,86614350000.0,448642060000.0,26.437685,5.364528,301.05673,136.69766,570237400000.0,0.0
116,23493472000.0,64215196000.0,551727330000.0,40.1019,2.1267023,216.47775,112.682724,639570300000.0,0.0
117,15106522000.0,13784153000.0,134199530000.0,17.134424,1.7356983,143.78566,85.572205,163118250000.0,0.0
118,12857231000.0,13852583000.0,99171690000.0,19.222813,1.869255,124.28397,67.89019,125898170000.0,0.0
119,1558308200.0,5940621000.0,42851795000.0,9.138806,0.6098721,111.58879,67.399635,50367197000.0,0.0
120,4049346300.0,1491796700.0,63641543000.0,26.82254,0.23139793,80.51197,42.411602,69189400000.0,0.0
121,1450631300.0,3238165000.0,37855592000.0,10.158265,0.13897902,102.500465,53.13096,42555036000.0,0.0
122,3014649600.0,1280720400.0,33731494000.0,13.765198,0.16716313,79.13832,43.94224,38034657000.0,0.0
123,6768965000.0,25745662000.0,257390740000.0,27.652765,0.7565734,168.71103,84.48368,289942370000.0,0.0
124,12153626000.0,21116805000.0,255595720000.0,32.12078,1.6350924,161.7676,78.39422,288889080000.0,0.0
125,2118809700.0,539476160.0,32987806000.0,21.88876,0.061689705,63.96205,33.92411,35646090000.0,0.0
126,8583431000.0,7867733500.0,58114912000.0,12.520418,0.581991,115.65817,61.34213,74581830000.0,0.0
127,4851832000.0,4293363700.0,82826840000.0,23.498343,0.25026542,101.89861,51.424343,91983370000.0,0.0
128,2942926000.0,6000381000.0,44538372000.0,11.138731,0.36688665,110.49182,57.729534,53503730000.0,0.0
129,1390553600.0,3040708900.0,29854690000.0,8.467406,0.16491866,94.36544,52.63552,34295710000.0,0.0
130,7638965000.0,16392980000.0,110174130000.0,12.5145445,1.548995,153.02478,89.34186,134229670000.0,0.0
131,3764848000.0,2953794600.0,54940054000.0,19.581955,0.19896199,88.13085,45.45038,61667934000.0,0.0
132,3468930800.0,179647020.0,38633316000.0,26.663017,0.06231936,60.034225,31.765879,42281894000.0,0.0
133,4187488500.0,1103294800.0,21938630000.0,14.575587,0.22088169,70.42531,34.965195,27229415000.0,0.0
134,801222300.0,113130296.0,18759684000.0,19.962015,0.031927526,48.407536,26.87891,19674038000.0,0.0
135,54905876000.0,33646436000.0,771528800000.0,71.45976,1.2829487,213.20204,98.52151,860206330000.0,0.0
136,2531169300.0,1479752300.0,28817880000.0,11.553526,0.12690961,78.67753,44.08391,32836065000.0,0.0
137,3964983600.0,530599970.0,19256084000.0,11.301282,0.055094264,68.03633,40.17272,23754870000.0,0.0
138,9076568000.0,132596530000.0,271442350000.0,11.759813,2.0222461,288.51562,166.9498,413373500000.0,0.0
139,48679500000.0,48375620000.0,332472120000.0,28.854372,3.1994252,194.57072,102.02817,429645140000.0,0.0
140,13026959000.0,7538794000.0,138595880000.0,26.53425,1.2993871,121.079285,65.07086,159177820000.0,0.0
141,11415561000.0,2230265600.0,79085260000.0,21.918896,0.5889383,97.771805,51.664722,92738810000.0,0.0
142,1699074200.0,110960780.0,23435086000.0,19.409891,0.032807462,54.899075,30.03425,25245120000.0,0.0
