,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
0,49861440000.0,51162960000.0,411681260000.0,28.781115,7.8417964,211.04991,111.1677,512793870000.0,0.5
1,4576476000.0,64007310000.0,482204300000.0,23.58883,1.4190396,290.64676,129.28653,550972200000.0,0.5
2,8309998000.0,70159030000.0,368824500000.0,24.677858,2.3034365,285.4178,113.90402,447446020000.0,0.5
3,18306505000.0,35181433000.0,271353870000.0,22.899715,3.3005934,181.85635,95.47366,324875200000.0,0.5
4,26433255000.0,16089913000.0,216735970000.0,23.004526,4.343979,156.63574,86.5019,259276030000.0,0.5
5,2894766800.0,29492144000.0,217011400000.0,20.482601,1.1641908,215.91606,97.30806,249505630000.0,0.5
6,5270672400.0,13644110000.0,141007550000.0,20.62737,2.0990148,162.53804,77.86076,159966800000.0,0.5
7,2163147300.0,16865204000.0,118302990000.0,16.648232,0.60055727,147.89644,74.75412,137360710000.0,0.5
8,10691808000.0,8558040600.0,137797750000.0,20.3385,1.7424724,133.81995,78.82499,157069310000.0,0.5
9,3766557700.0,15302598000.0,115736600000.0,18.006233,0.79390734,151.29199,73.73173,134839790000.0,0.5
10,2761910300.0,15511162000.0,112218710000.0,13.459064,0.7088512,159.95294,79.13723,130532024000.0,0.5
11,2373970200.0,9619783000.0,97321760000.0,16.224964,0.5577902,124.69787,69.38526,109341890000.0,0.5
12,841101900.0,12009167000.0,58359026000.0,7.9270964,0.3793916,147.4269,77.62746,71249890000.0,0.5
13,851922500.0,7043415600.0,83027395000.0,20.613077,0.2918663,108.955956,58.74835,90933730000.0,0.5
14,1834616000.0,3123927000.0,94041180000.0,24.755865,0.27675068,97.79531,54.620308,99010900000.0,0.5
15,2808472000.0,2547916800.0,81726054000.0,21.518412,0.22314301,99.35253,55.28709,87095690000.0,0.5
16,2785558500.0,3433428200.0,57698830000.0,14.449924,0.6106505,102.155235,54.71043,63926360000.0,0.5
17,7216685600.0,836162300.0,45155463000.0,15.804452,0.46957996,86.19996,49.2086,53210247000.0,0.5
18,4313563000.0,1080479200.0,52210310000.0,18.54013,0.40504098,86.81407,46.847317,57605562000.0,0.5
19,839540500.0,2921298200.0,51606376000.0,16.59177,0.1345467,91.354126,48.602074,55379990000.0,0.5
20,2821212200.0,293857760.0,59268790000.0,24.788311,0.06221656,75.55039,41.934315,62385795000.0,0.5
21,2910407700.0,376472030.0,54003970000.0,25.57362,0.03149955,69.8358,41.514904,57292923000.0,0.5
22,4029786000.0,1127898900.0,41092620000.0,18.14421,0.20269354,76.60732,41.50763,46250308000.0,0.5
23,506077540.0,3185793500.0,40624808000.0,12.022474,0.12399399,90.11563,51.748615,44323770000.0,0.5
