,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
0,60559192000.0,33305887000.0,550092000000.0,36.415905,21.828768,243.96156,121.62447,644024240000.0,1.5
1,34647364000.0,16959465000.0,250694800000.0,22.187248,7.2383847,185.6815,101.16808,302328700000.0,1.5
2,36758770000.0,20828606000.0,162901260000.0,13.255627,16.666262,189.29924,113.67629,220516840000.0,1.5
3,38711325000.0,11791182000.0,211691230000.0,23.406826,10.273208,172.4808,95.918594,262205950000.0,1.5
4,35142377000.0,14125772000.0,116749360000.0,11.523466,13.462406,176.15533,97.69257,166031210000.0,1.5
5,22177704000.0,16622409000.0,75387216000.0,8.040853,22.234364,179.57486,114.30484,114208990000.0,1.5
6,12676287000.0,10164449000.0,119077530000.0,13.484976,5.47293,163.1811,91.147545,141935740000.0,1.5
7,8295779000.0,14675923000.0,71799440000.0,6.2999415,6.9286346,199.64818,108.24645,94814675000.0,1.5
8,16112593000.0,1138427800.0,104615730000.0,26.00168,1.2006764,102.5283,57.312794,121869800000.0,1.5
9,17599136000.0,2107021300.0,81390280000.0,21.598019,1.6971343,101.068,58.281162,101101830000.0,1.5
10,8286774000.0,6379808300.0,82067276000.0,11.719843,2.0422196,142.8474,80.14619,96752160000.0,1.5
11,9542602000.0,1400862800.0,67729342000.0,14.151117,1.524512,110.721344,66.99295,78676340000.0,1.5
12,4751274000.0,1643447800.0,67767456000.0,16.188726,1.3907421,99.58764,60.672256,74166190000.0,1.5
13,3845394700.0,1227808100.0,60125467000.0,13.337414,1.1767092,103.30371,65.49891,65203966000.0,1.5
14,3888453600.0,1314602900.0,56475525000.0,13.84291,0.8164423,98.68318,58.23956,61681566000.0,1.5
15,5718399000.0,828860540.0,29101922000.0,8.486436,1.3971841,95.07489,58.20187,35649180000.0,1.5
16,3952433000.0,2360054800.0,25339005000.0,6.314678,1.4461933,108.666016,60.37532,31653708000.0,1.5
17,3622856400.0,899570370.0,31534004000.0,10.372941,1.3444953,86.450195,53.645702,36058542000.0,1.5
